model,accuracy,precision,recall,f1_score,roc_auc
LR,0.6881188118811881,0.6961178045515395,0.7749627421758569,0.7334273624823695,0.7611670169774469
GB,0.7194719471947195,0.7197875166002656,0.8077496274217586,0.7612359550561798,0.7882818977937308
XGB,0.7277227722772277,0.7351724137931035,0.7943368107302533,0.7636103151862464,0.7931522736225624
RF,0.6889438943894389,0.6805896805896806,0.8256333830104322,0.7461279461279461,0.7397103669034822
