model,accuracy,precision,recall,f1_score,roc_auc
Stacking Ensemble,0.7524752475247525,0.7616361071932299,0.8047690014903129,0.782608695652174,0.815944971364504
GB (base),0.7475247524752475,0.7552447552447552,0.8047690014903129,0.7792207792207793,0.8153251554360612
Blending Ensemble,0.7491749174917491,0.7602836879432624,0.7988077496274217,0.7790697674418605,0.8152535322621077
Voting Ensemble,0.7491749174917491,0.7602836879432624,0.7988077496274217,0.7790697674418605,0.8152535322621077
XGB (base),0.745049504950495,0.7535014005602241,0.8017883755588674,0.7768953068592058,0.815184663825614
RF (base),0.735973597359736,0.7461430575035063,0.7928464977645305,0.7687861271676301,0.8015418265562202
