model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
RF,0.8062304999424328,0.7301980198019802,0.7415730337078652,0.7868852459016393,0.7635574837310195,0.7980364231386928
GB,0.8204077702092109,0.7491749174917491,0.7545076282940361,0.8107302533532041,0.7816091954022989,0.8137522003465459
XGB,0.8200639818574824,0.75,0.7598870056497176,0.8017883755588674,0.7802755620014503,0.8140028814553829
