model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
LR,0.6988448844884488,0.6976744186046512,0.8047690014903129,0.7474048442906575,0.7582552594824951,307,234,131,540
SVM,0.7120462046204621,0.7199453551912568,0.7853949329359166,0.7512473271560941,0.762828123665674,336,205,144,527
KNN,0.6468646864686468,0.6718528995756718,0.7078986587183308,0.6894049346879536,0.7012969303960487,309,232,196,475
DT,0.655940594059406,0.6873156342182891,0.6944858420268256,0.6908821349147517,0.6513094644514904,329,212,205,466
NB,0.6584158415841584,0.6531585220500596,0.8166915052160953,0.7258278145695364,0.723429868516381,250,291,123,548
RF,0.740924092409241,0.7583212735166426,0.7809239940387481,0.7694566813509545,0.8014812223321056,374,167,147,524
GB,0.7417491749174917,0.7528248587570622,0.7943368107302533,0.7730239303843365,0.8124065110974599,366,175,138,533
XGB,0.7442244224422442,0.7524475524475525,0.8017883755588674,0.7763347763347763,0.8141654109655079,364,177,133,538
