model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
LR,0.6848184818481848,0.6913907284768211,0.7779433681073026,0.7321178120617111,0.7589329248975928,308,233,149,522
SVM,0.6856435643564357,0.699724517906336,0.7570789865871833,0.7272727272727273,0.7492458906203945,323,218,163,508
KNN,0.6617161716171617,0.6820083682008368,0.7287630402384501,0.7046109510086456,0.7053188470872783,313,228,182,489
DT,0.6113861386138614,0.6461988304093568,0.6587183308494784,0.6523985239852399,0.6056992763304694,299,242,229,442
NB,0.5536303630363036,0.5892857142857143,0.639344262295082,0.6132952108649035,0.5950067628804636,242,299,242,429
RF,0.6831683168316832,0.6726835138387485,0.8330849478390462,0.7443408788282291,0.7395519694995468,269,272,112,559
GB,0.735973597359736,0.7414030261348006,0.8032786885245902,0.771101573676681,0.8011437669932868,353,188,132,539
XGB,0.721947194719472,0.7306629834254144,0.7883755588673621,0.7584229390681003,0.7842902832145582,346,195,142,529
