model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
LR,0.683993399339934,0.6951219512195121,0.7645305514157973,0.7281760113555713,0.7544895333750217,316,225,158,513
SVM,0.6848184818481848,0.6998616874135546,0.7540983606557377,0.7259684361549498,0.749718328094741,324,217,165,506
KNN,0.6575907590759076,0.6813031161473088,0.7168405365126677,0.6986201888162672,0.6996151631768736,316,225,190,481
DT,0.6848184818481848,0.7186081694402421,0.7078986587183308,0.7132132132132132,0.6820454476586109,355,186,196,475
NB,0.5495049504950495,0.5576036866359447,0.9016393442622951,0.6890660592255126,0.640853858423023,61,480,66,605
RF,0.7244224422442245,0.746705710102489,0.7600596125186289,0.7533234859675036,0.7940723559341176,368,173,161,510
GB,0.7384488448844885,0.7451523545706371,0.8017883755588674,0.7724335965541995,0.8102578158788577,357,184,133,538
XGB,0.7202970297029703,0.739193083573487,0.7645305514157973,0.7516483516483516,0.7970612460779425,360,181,158,513
