Stage,ROC-AUC (mean),ROC-AUC (range),Recall (mean),F1-score (mean)
Stage 1 (TF-IDF),0.5,0.49–0.51,0.96,0.7
Stage 2 (Subword),0.5,0.48–0.52,0.95,0.7
Stage 3 (MiniLM),0.5,0.49–0.51,0.87,0.64
Stage 4 (KoSimCSE),0.49,0.46–0.52,0.83,0.61
