model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
LR,0.6732673267326733,0.6835781041388518,0.7630402384500745,0.7211267605633803,0.7249394646443221,304,237,159,512
SVM,0.5998349834983498,0.6,0.8315946348733234,0.6970643347907558,0.6382120651991262,169,372,113,558
KNN,0.6089108910891089,0.6322147651006711,0.7019374068554396,0.6652542372881356,0.6430962147152567,267,274,200,471
DT,0.6204620462046204,0.6513629842180775,0.676602086438152,0.6637426900584795,0.6137169397070612,298,243,217,454
NB,0.5627062706270627,0.585247883917775,0.7213114754098361,0.6461949265687583,0.5776353884593028,198,343,187,484
RF,0.6534653465346535,0.6488730723606169,0.8152011922503726,0.7225891677675033,0.70399795047533,245,296,124,547
GB,0.7326732673267327,0.7347767253044655,0.8092399403874814,0.7702127659574468,0.7963560332882476,345,196,128,543
XGB,0.6955445544554455,0.7085635359116023,0.7645305514157973,0.7354838709677419,0.7662357339033803,330,211,158,513
