model,accuracy,precision,recall,f1_score,roc_auc
XGB (tuned),0.75,0.7598870056497176,0.8017883755588674,0.7802755620014503,0.8140028814553829
Stacking,0.7491749174917491,0.7588152327221439,0.8017883755588674,0.7797101449275362,0.8139505414436478
GB (tuned),0.7491749174917491,0.7545076282940361,0.8107302533532041,0.7816091954022989,0.8137522003465459
Voting (Weighted),0.7466996699669967,0.7534818941504178,0.8062593144560357,0.7789776817854571,0.8127384569613594
Voting (Soft),0.7458745874587459,0.7531380753138075,0.8047690014903129,0.7780979827089337,0.8126833622121643
Voting (Hard),0.75,0.7584269662921348,0.8047690014903129,0.7809110629067245,0.8126833622121643
Blending,0.7458745874587459,0.7531380753138075,0.8047690014903129,0.7780979827089337,0.8126833622121643
RF (tuned),0.7301980198019802,0.7415730337078652,0.7868852459016393,0.7635574837310195,0.7980364231386928
