model,accuracy,precision,recall,f1_score,roc_auc
Voting-H,0.7458745874587459,0.7604017216642754,0.789865871833085,0.7748538011695907,0.8105098743564244
Voting-S,0.7433993399339934,0.7586206896551724,0.7868852459016393,0.7724945135332846,0.8105098743564244
Voting-W,0.7433993399339934,0.7586206896551724,0.7868852459016393,0.7724945135332846,0.8105429312059415
BLD,0.7433993399339934,0.75,0.8047690014903129,0.7764198418404026,0.814372016274989
STK,0.7458745874587459,0.7604017216642754,0.789865871833085,0.7748538011695907,0.8128348727724504
