model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
LR,0.6848184818481848,0.6913907284768211,0.7779433681073026,0.7321178120617111,0.76221932668707,308,233,149,522
SVM,0.683993399339934,0.6994459833795014,0.7526080476900149,0.7250538406317301,0.7500571608022897,324,217,166,505
KNN,0.6518151815181518,0.676595744680851,0.7108792846497765,0.6933139534883721,0.7074551459873117,313,228,194,477
DT,0.6287128712871287,0.6666666666666666,0.6587183308494784,0.6626686656671664,0.6251077791031125,320,221,229,442
NB,0.4793729372937294,0.5806451612903226,0.21460506706408347,0.3133841131664853,0.6516221271531717,437,104,527,144
RF,0.7145214521452146,0.7311522048364154,0.7660208643815202,0.7481804949053857,0.7754062549068761,352,189,157,514
GB,0.7384488448844885,0.7478991596638656,0.7958271236959762,0.7711191335740072,0.808082950654388,361,180,137,534
XGB,0.7293729372937293,0.7555886736214605,0.7555886736214605,0.7555886736214605,0.7966149786094636,377,164,164,507
