model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
RF,0.8072843220596878,0.735973597359736,0.7461430575035063,0.7928464977645305,0.7687861271676301,0.8015418265562202
GB,0.8215618232918918,0.7475247524752475,0.7552447552447552,0.8047690014903129,0.7792207792207793,0.8153251554360612
XGB,0.8193210801999186,0.745049504950495,0.7535014005602241,0.8017883755588674,0.7768953068592058,0.815184663825614
